fund_desc,Category
PS MFG Board,Yellow
PS Box Circle Classics,Box
PS Box Circle Pops,Box
PS Classics ON Donation,Yellow
PS Classics ON Sponsorship,Yellow
PS Classics ON Table,Yellow
PS Classics ON Tickets,Yellow
PS Corp Board Concert Family,Red
PS Corp Board Donation,Red
PS Corp Board ED Class Act,Red
PS Corp Board ED General,Red
PS Corp Board ED Heartstrings,Red
PS Corp Coachella Valley,Red
PS Corp Concert Summer,Red
PS Corp Donation,Red
PS Corp ED Arts X-Press,Red
PS Corp ED Class Act,Red
PS Corp ED General,Red
PS Corp ED Heartstrings,Red
PS Corp ED PSYE,Red
PS Corp ED Santa Ana Strings,Red
PS Fnd Concert Classics,Red
PS Fnd Cyrus Society,Red
PS Fnd Don PBS,Red
PS Fnd Donation,Red
PS Fnd ED Class Act,Red
PS Fnd ED General,Red
PS Fnd ED Heartstrings,Red
PS Fnd ED Heartstrings OCRM,Red
PS Fnd ED PSSS,Red
PS Fnd ED PSYO,Red
PS Fnd ED Santa Ana Strings,Red
PS Gala Auction Item,Yellow
PS Gala Donation,Yellow
PS Gala Fund-A-Dream,Green
PS Gala Table,Yellow
PS Gala Tickets,Yellow
PS Gov Concert Classics,Red
PS Gov ED Class Act,Red
PS Gov ED Santa Ana Strings,Red
PS Gov Symp in Cities,Red
PS Indiv Board Concert Classic,Red
PS Indiv Board Concert Family,Red
PS Indiv Board Cyrus Society,Red
PS Indiv Board Donation,Red
PS Indiv Board Donation NBC,Red
PS Indiv Board ED General,Red
PS Indiv Board ED Sage Hill,Red
PS Indiv Board ED Santa Ana St,Red
PS Indiv Board Joshua's Horn,Red
PS Indiv Board PSYE Scholarshi,Red
PS Indiv Board Underwriting,Red
PS Indiv BOC Chamber Music,Red
PS Indiv BOC Cyrus Society,Red
PS Indiv BOC Donation,Red
PS Indiv BOC Donation NBC,Red
PS Indiv BOC ED Class Act,Red
PS Indiv BOC Joshua's Horn,Red
PS Indiv Concert Classics,Green
PS Indiv Concert Organ,Green
PS Indiv Cyrus Society,Green
PS Indiv ED Arts X-Press,Green
PS Indiv ED Class Act,Green
PS Indiv ED Class Act Undrwrtg,Green
PS Indiv ED General,Green
PS Indiv ED Heartstrings,Green
PS Indiv ED PSSS,Green
PS Indiv ED PSSS Tour,Yellow
PS Indiv ED PSWE,Green
PS Indiv ED PSYE,Green
PS Indiv ED PSYE Board,Green
PS Indiv ED PSYE Board- Tour,Yellow
PS Indiv ED PSYE Scholarships,Yellow
PS Indiv ED PSYO,Green
PS Indiv ED Santa Ana Strings,Green
PS Indiv Gov Mbr (Maestro),Green
PS Indiv Joshua's Horn Society,Green
PS Indiv Matching Gift,Green
PS Indiv Subscription Add On,Green
PS Indiv Symp in the Cities,Green
PS Indiv Symphony Society,Green
PS Indiv Telefunding,Green
PS Indiv Underwriting,Green
PS League ClassAct Donation,Green
PS League Donation,Green
PS League Membership,Green
PS Leatherby Event Auction,Yellow
PS Leatherby Event Tickets,Yellow
PS Lunar New Year Auction,Yellow
PS Lunar New Year Donation,Yellow
PS Lunar New Year Spons,Yellow
PS Lunar New Year Tbl/Ticket,Yellow
PS Next Cap Campaign Board,Red
PS Opera Focus Donation,Green
PS Opera Focus Membership,Green
PS Opera ON Donation,Yellow
PS Opera ON Sponsorship,Yellow
PS Opera ON Table/Ticket,Yellow
PS Patron Tour Contrib Income,Green
PS SSS Events,Yellow
PS SSS Membership,Green
PS Stahr Campaign Indiv,Green
PS Summer Box Membership,Green
PS Symphony 100 Membership,Green
PS Wine Festival Donation,Yellow
PS Corp ED PSSS,Red
PS Corp Symp in the Cities,Red
PS Fnd Brd Spec ConcSponsor,Red
PS Fnd ED PSYE,Red
PS Fnd NCAF,Red
PS Fnd Stars & Stripes,Red
PS Ind GovMem Stars & Stripes,Green
PS Indiv Board Concert Summer,Red
PS Indiv Board San Juan Capist,Red
PS Indiv Board Special #1,Red
PS Indiv Board Stars & Stripes,Red
PS Indiv Board Symph in Cities,Red
PS Indiv BOC Underwriting,Red
PS Indiv San Juan Capistrano,Green
PS Indiv Stars & Stripes,Green
PS Next Cap Campaign Indiv,Yellow
PS Oktoberfest Auction,Yellow
PS Oktoberfest Fund a Need,Green
PS Oktoberfest Tax Amount,Yellow
PS Oktoberfest Tbl/Tickets,Yellow
